ID	Classification	ChromA	ChromB
SoChr01A	Chr01G.fa,Chr01H.fa:50,39	Chr01G	Chr01H
SoChr01B	Chr01B.fa,Chr01F.fa:78,13	Chr01B	Chr01F
SoChr01C	Chr01A.fa,Chr01D.fa:58,35	Chr01A	Chr01D
SoChr01D	Chr01C.fa,Chr01E.fa:73,13	Chr01C	Chr01E
SoChr02A	Chr02F.fa,Chr02E.fa:50,38	Chr02F	Chr02E
SoChr02D	Chr02G.fa,Chr02H.fa:46,41	Chr02G	Chr02H
SoChr03A	Chr03A.fa,Chr03E.fa:49,38	Chr03A	Chr03E
SoChr03B	Chr03F.fa,Chr03D.fa:45,41	Chr03F	Chr03D
SoChr03C	Chr03C.fa,Chr03H.fa:44,31	Chr03C	Chr03H
SoChr03D	Chr03B.fa,Chr03G.fa:75,10	Chr03B	Chr03G
SoChr04A	Chr04C.fa,Chr04F.fa:73,13	Chr04C	Chr04F
SoChr04B	Chr04G.fa,Chr04E.fa:46,30	Chr04G	Chr04E
SoChr04C	Chr04H.fa,Chr04D.fa:62,19	Chr04H	Chr04D
SoChr04D	Chr04A.fa,Chr04B.fa:52,26	Chr04A	Chr04B
SoChr05A	Chr05C.fa,Chr05D.fa:52,28	Chr05C	Chr05D
SoChr05B	Chr05E.fa,Chr05A.fa:68,18	Chr05E	Chr05A
SoChr05C	Chr05F.fa,Chr05B.fa:52,32	Chr05F	Chr05B
SoChr05D	Chr05H.fa,Chr05G.fa:58,28	Chr05H	Chr05G
SoChr06A	Chr06A.fa,Chr06H.fa:83,6	Chr06A	Chr06H
SoChr06B	Chr06D.fa,Chr06F.fa:50,39	Chr06D	Chr06F
SoChr06C	Chr06G.fa,Chr06E.fa:57,33	Chr06G	Chr06E
SoChr06D	Chr06H.fa,Chr06C.fa:51,39	Chr06H	Chr06C
SoChr07A	Chr07C.fa,Chr07E.fa:68,13	Chr07C	Chr07E
SoChr07B	Chr07A.fa,Chr07H.fa:45,34	Chr07A	Chr07H
SoChr07C	Chr07D.fa,Chr07G.fa:48,31	Chr07D	Chr07G
SoChr07D	Chr07F.fa,Chr07B.fa:58,27	Chr07F	Chr07B
SoChr08A	Chr08D.fa,Chr08A.fa:47,35	Chr08D	Chr08A
SoChr08B	Chr08G.fa,Chr08F.fa:40,35	Chr08G	Chr08F
SoChr08C	Chr08E.fa,Chr08C.fa:62,25	Chr08E	Chr08C
SoChr08D	Chr08B.fa,Chr08H.fa:40,36	Chr08B	Chr08H
SoChr09A	Chr09B.fa,Chr09A.fa:63,15	Chr09B	Chr09A
SoChr09B	Chr09H.fa,Chr09C.fa:56,18	Chr09H	Chr09C
SoChr09C	Chr09G.fa,Chr09E.fa:83,5	Chr09G	Chr09E
SoChr09D	Chr09D.fa,Chr09F.fa:58,22	Chr09D	Chr09F
SoChr10A	Chr10A.fa,Chr10B.fa:48,43	Chr10A	Chr10B
SoChr10B	Chr10C.fa,Chr10G.fa:58,29	Chr10C	Chr10G
SoChr10C	Chr10D.fa,Chr10H.fa:50,33	Chr10D	Chr10H
SoChr10D	Chr10F.fa,Chr10E.fa:69,17	Chr10F	Chr10E
